region,plot,date,mass_g,cover_pct,month,year
northern,2,2016-06-30,10.975000000000001,95,6,2016
northern,3,2016-06-30,1.06,20,6,2016
northern,4,2016-06-30,2.19,5,6,2016
northern,5,2016-07-07,7.96,55,7,2016
northern,6,2016-07-07,2.57,6,7,2016
northern,7,2016-07-07,8.78,23,7,2016
northern,8,2016-07-07,4.4,15,7,2016
northern,9,2016-07-07,11.85,72,7,2016
northern,10,2016-07-07,0.12,3,7,2016
northern,11,2016-07-07,3.535,42,7,2016
northern,12,2016-07-07,7.915,45.5,7,2016
northern,13,2016-07-07,1.405,12,7,2016
northern,22,2016-07-10,6.05,76.5,7,2016
northern,23,2016-07-10,6.835000000000001,76,7,2016
northern,24,2016-07-10,3.875,19.5,7,2016
northern,25,2016-07-10,2.01,47.5,7,2016
northern,26,2016-07-10,11.004999999999999,44,7,2016
northern,27,2016-07-10,5.29,48,7,2016
northern,28,2016-07-10,3.8899999999999997,36,7,2016
northern,29,2016-07-10,3.545,32,7,2016
northern,30,2016-07-10,2.865,30,7,2016
northern,38,2016-07-11,3.45,13,7,2016
northern,46,2016-07-11,3.8249999999999997,72,7,2016
northern,47,2016-07-11,0.785,8.5,7,2016
northern,48,2016-07-11,2.9,46,7,2016
northern,49,2016-07-11,2.19,45,7,2016
northern,50,2016-07-11,6.27,77.5,7,2016
northern,58,2016-07-11,1.32,37,7,2016
northern,59,2016-07-11,5.665,65,7,2016
northern,60,2016-07-11,0.785,10,7,2016
northern,61,2016-07-11,3.16,42,7,2016
eastern,3,2016-06-22,0.995,21,6,2016
western,4,2016-06-08,11,62.5,6,2016
western,5,2016-06-14,1.745,8.5,6,2016
western,6,2016-06-14,1.405,7,6,2016
western,9,2016-06-15,5.95,25,6,2016
western,13,2016-06-23,3.85,17.5,6,2016
western,14,2016-07-07,5.645,32.5,7,2016
western,15,2016-07-08,2.3049999999999997,17.5,7,2016
western,16,2016-07-08,9.4,80,7,2016
western,17,2016-07-09,5.36,95,7,2016
western,20,2016-08-16,6.83,38,8,2016
western,21,2016-08-16,5.285,26,8,2016
western,22,2016-08-16,4.21,28,8,2016
western,23,2016-08-16,1.7,25,8,2016
western,24,2016-08-17,3.995,55,8,2016
western,25,2016-08-17,5.975,40,8,2016
western,26,2016-08-17,4.57,40,8,2016
western,27,2016-08-17,4.7749999999999995,35.5,8,2016
western,28,2016-08-17,1.9149999999999998,18,8,2016
western,29,2016-08-17,6.04,40,8,2016
western,30,2016-08-17,2.55,55,8,2016
western,31,2016-08-18,10.36,80,8,2016
western,32,2016-08-19,4.955,45.5,8,2016
western,33,2016-08-19,1.145,26.5,8,2016
western,34,2016-08-19,3.7750000000000004,72.5,8,2016
northern,11,2017-06-30,0.275,1,6,2017
northern,12,2017-06-30,0.685,13.5,6,2017
northern,13,2017-06-30,0.42000000000000004,6,6,2017
northern,2,2017-06-07,23.58,80,6,2017
northern,22,2017-06-16,4.865,55,6,2017
northern,24,2017-06-16,2.56,65,6,2017
northern,25,2017-06-16,1.145,30,6,2017
northern,26,2017-06-16,3.395,40,6,2017
northern,3,2017-06-07,0.3,20,6,2017
northern,3n,2017-06-16,1.78,32.5,6,2017
northern,46,2017-06-13,2.7249999999999996,27.5,6,2017
northern,47,2017-06-13,1.17,35,6,2017
northern,48,2017-06-13,1.2799999999999998,75,6,2017
northern,58,2017-06-13,4.29,37.5,6,2017
northern,59,2017-06-13,9.455,77.5,6,2017
northern,5n,2017-06-16,1.835,25.5,6,2017
northern,6,2016-07-01,0.9550000000000001,3,7,2017
northern,60,2017-06-13,1.04,40,6,2017
northern,61,2017-06-13,2.1100000000000003,32.5,6,2017
northern,9,2017-07-01,0.81,30,7,2017
eastern,12,2017-05-29,1.12,25,5,2017
eastern,13,2017-05-29,2.15,31,5,2017
eastern,14,2017-05-29,9.51,80,5,2017
eastern,15,2017-05-29,2.2350000000000003,57.5,5,2017
eastern,20,2017-05-29,0.38,40,5,2017
eastern,22,2017-05-30,0.41000000000000003,17.5,5,2017
eastern,24,2017-05-30,0.33,30,5,2017
eastern,26,2017-05-30,1.095,14,5,2017
eastern,28,2017-05-30,0.95,13,5,2017
eastern,30,2017-05-30,1.91,52.5,5,2017
eastern,32,2017-06-18,2.415,50,6,2017
eastern,34,2017-06-18,2.185,27.5,6,2017
eastern,36,2017-06-18,6.54,90,6,2017
eastern,38,2017-06-18,5.555,84,6,2017
eastern,4,2017-05-29,0.44,40,5,2017
eastern,40,2017-06-18,2.7800000000000002,50,6,2017
eastern,42,2017-06-18,4.22,70,6,2017
eastern,44,2017-06-18,1.015,24,6,2017
eastern,47,2017-06-20,3.4400000000000004,60,6,2017
eastern,49,2017-06-20,1.8,30,6,2017
eastern,56,2017-06-20,0.89,45,6,2017
eastern,57,2017-06-20,11.739999999999998,80,6,2017
eastern,58,2017-06-20,0.12,5,6,2017
eastern,59,2017-06-20,10.38,45,6,2017
eastern,6,2017-05-29,0.1,3,5,2017
eastern,61,2017-06-20,44.69,50,6,2017
eastern,62,2017-06-20,27.365000000000002,80,6,2017
eastern,64,2017-06-20,7.28,40,6,2017
eastern,66,2017-06-27,3,32.5,6,2017
eastern,67,2017-06-27,2.11,45,6,2017
