plot,elevation,aspect,slope,Soil Type,Latitude,Longitude
cg_1,1568,57,4,Haplic Kastanozems,42.74,-116.32
cg_2,1568,57,4,Haplic Kastanozems,42.74,-116.32
cg_3,1568,57,4,Haplic Kastanozems,42.74,-116.32
cg_4,1568,57,4,Haplic Kastanozems,42.73,-116.32
cg_5,1518,62,4,Haplic Kastanozems,42.74,-116.31
cg_6,1518,62,4,Haplic Kastanozems,42.74,-116.31
cg_7,1518,62,4,Haplic Kastanozems,42.74,-116.31
cg_8,1518,62,4,Haplic Kastanozems,42.74,-116.31
cg_9,1454,63,1,Haplic Kastanozems,42.75,-116.31
cg_10,1454,63,1,Haplic Kastanozems,42.75,-116.31
cg_11,1454,63,1,Haplic Kastanozems,42.75,-116.31
cg_12,1454,63,1,Haplic Kastanozems,42.75,-116.31
cg_13,1385,17,5,Haplic Luvisols,42.76,-116.29
cg_14,1385,17,5,Haplic Luvisols,42.76,-116.29
cg_15,1244,56,3,Haplic Cambisols,42.77,-116.26
cg_16,1244,56,3,Haplic Cambisols,42.77,-116.26
cg_17,1183,95,2,Haplic Luvisols,42.78,-116.24
cg_18,1183,95,2,Haplic Luvisols,42.78,-116.24
cg_19,1183,95,2,Haplic Luvisols,42.78,-116.24
cg_20,1183,95,2,Haplic Luvisols,42.78,-116.24
cg_21,820,153,1,Haplic Luvisols,43.06,-116.35
cg_22,820,153,1,Haplic Luvisols,43.06,-116.35
cg_23,1195,64,1,Haplic Cambisols,42.96,-116.49
cg_24,1195,64,1,Haplic Cambisols,42.96,-116.49
cg_25,1195,64,1,Haplic Kastanozems,42.96,-116.5
cg_26,1195,64,1,Haplic Kastanozems,42.96,-116.5
cg_27,1219,55,2,Haplic Cambisols,42.96,-116.5
cg_28,1219,55,2,Haplic Cambisols,42.96,-116.5
cg_29,1195,64,1,Haplic Cambisols,42.96,-116.5
cg_30,1246,59,2,Haplic Kastanozems,42.95,-116.5
cg_31,1246,59,2,Haplic Kastanozems,42.95,-116.5
cg_32,1234,64,2,Haplic Kastanozems,42.95,-116.5
cg_33,1234,64,2,Haplic Kastanozems,42.95,-116.5
cg_34,1296,39,3,Haplic Kastanozems,42.94,-116.52
cg_35,1296,39,3,Haplic Kastanozems,42.94,-116.52
cg_36,1274,56,3,Haplic Kastanozems,42.94,-116.51
