date,plot,UTMx,UTMy,mean_ht_square_cm,cover_square,mean_ht_hoop_cm,cover_hoop,region,mass_g
19-Jun-2019,1,462030,4336093,19.05,15,17.78,25,central,1.16
19-Jun-2019,2,463052,4335568,24.13,35,22.86,40,central,3.27
19-Jun-2019,3,463836,4335404,16.51,15,13.97,10,central,0.88
19-Jun-2019,4,465420,4334804,19.685,40,19.685,40,central,3.05
19-Jun-2019,5,467357,4334023,24.4475,45,22.225,45,central,2.18
19-Jun-2019,6,463180,4329258,27.6225,15,27.305,15,central,1.63
26-Jun-2019,7,478755,4310099,24.13,45,20.6375,50,central,4.63
26-Jun-2019,8,478749,4310095,27.305,40,26.035,35,central,3.08
26-Jun-2019,9,478666,4310137,19.685,25,19.8755,35,central,2.27
26-Jun-2019,10,478710,4310154,27.305,45,26.035,40,central,3.28
27-Jun-2019,11,505688,4301204,20.6375,40,19.05,40,central,4.08
27-Jun-2019,12,505701,4301219,17.78,15,19.05,15,central,2.25
27-Jun-2019,13,505780,4301170,16.51,15,17.78,25,central,2.98
27-Jun-2019,14,505882,4301128,22.225,15,21.59,10,central,3.26
27-Jun-2019,15,506127,4300982,19.05,10,19.05,20,central,2.94
27-Jun-2019,16,506446,4300884,44.45,70,43.815,65,central,22.42
27-Jun-2019,17,506520,4300885,33.655,5,34.29,10,central,3.86
28-Jun-2019,18,495627,4368831,20.32,20,19.05,30,central,3.45
28-Jun-2019,19,495618,4368804,20.955,15,20.955,20,central,2.6
28-Jun-2019,20,495581,4366402,18.415,20,20.955,25,central,4.69
28-Jun-2019,21,495649,4366366,10.795,2,11.43,5,central,1.54
28-Jun-2019,22,495569,4365852,17.78,7,19.05,20,central,3.31
29-Jun-2019,23,499328,4358529,43.4975,45,48.5775,55,central,10.45
29-Jun-2019,24,499328,4358468,36.195,25,38.1,30,central,5.95
29-Jun-2019,25,499377,4358441,40.64,2,36.83,5,central,3.45
29-Jun-2019,26,499482,4358395,28.575,10,30.48,15,central,4.94
29-Jun-2019,27,499578,4358321,20.955,10,17.78,10,central,2.75
