"","plot","latitude","longitude","slope","aspect","date","sample_year","type","a_grass_cover","p_grass_cover","forb_cover","forb_gm2","a_grass_gm2","p_grass_gm2"
"1","bm_01_s",41.287979,-117.08293,6,258,"07/11/2017","2017","shrub",1.3,6.7,0.5,1.3,11.56,45.66
"2","bm_01_s",41.287979,-117.08293,6,258,"07/11/2017","2018","shrub",0.4,10.8,0.1,0.3,1.5,29.62
"3","bm_01_s",41.287979,-117.08293,6,258,"07/11/2017","2019","shrub",3.2,10.8,0,2.98,12.72,11.18
"4","bm_02_g",41.03275,-117.3472,1,108,"07/11/2017","2017","grass",17.8,0,2.6,18.82,126.22,0
"5","bm_02_g",41.03275,-117.3472,1,108,"07/11/2017","2018","grass",21.6,0,4.6,15.02,122.58,0
"6","bm_02_g",41.03275,-117.3472,1,108,"07/11/2017","2019","grass",17.8,0,3.8,28.76,41.3,0
"7","bm_03_s",41.19685,-117.39631,3,80,"07/11/2017","2017","shrub",4,5.2,2.2,4.86,31.66,27.24
"8","bm_03_s",41.19685,-117.39631,3,80,"07/11/2017","2018","shrub",3.9,11.2,0.8,0.5,10.52,32.78
"9","bm_03_s",41.19685,-117.39631,3,80,"07/11/2017","2019","shrub",3.3,6.2,0.7,0.6,7.28,12.46
"10","bm_04_g",41.11985,-117.70377,1,70,"07/12/2017","2017","grass",8,1.6,6.8,40.76,69.8,13.04
"11","bm_04_g",41.11985,-117.70377,1,70,"07/12/2017","2018","grass",11,0,0.6,24.82,100.56,0
"12","bm_04_g",41.11985,-117.70377,1,70,"07/12/2017","2019","grass",0.8,0,4.6,27.7,2.72,0
"13","bm_05_g",41.18649,-117.69196,2,100,"07/13/2017","2017","grass",17.2,0,5.8,8.7,88.24,0
"14","bm_05_g",41.18649,-117.69196,2,100,"07/13/2017","2018","grass",7.6,0,7,10.56,52.6,0
"15","bm_05_g",41.18649,-117.69196,2,100,"07/13/2017","2019","grass",11.2,0,0.6,0.6,46.76,0
